grid_x,grid_y,grid_z,average_main_time
30,30,1,83.76
60,60,1,5613.37
100,100,1,10199.82
200,100,1,17140.05
200,200,1,26584.7
300,150,1,30894.05
300,300,1,51696.1
300,350,1,58559.9
300,375,1,62044.7
300,400,1,65478.7
300,425,1,68975.6
300,450,1,72452.65
300,475,1,75888.05
300,500,1,79263.2
300,525,1,82759.85
300,550,1,86192.8
300,575,1,89698.7
300,600,1,93192.5
300,625,1,96579.4
300,650,1,100162.4
300,675,1,103436.5
300,700,1,107018.9
300,725,1,110453.1
300,750,1,113896.8
300,775,1,117386.6
300,800,1,120794.2
300,825,1,124317.8
300,850,1,127801.2
400,200,1,50903.0
400,300,1,69885.65
400,350,1,79284.8
400,375,1,84159.3
400,400,1,88811.95
400,425,1,93525.9
