grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
300,300,1,60000,0,1,2535.19,410465,413000
300,300,1,60000,1,1,12.178,409505,409518
300,300,1,60000,2,1,10.356,409746,409757
300,300,1,60000,3,1,10.335,411045,411055
300,300,1,60000,4,1,10.456,409187,409198
300,300,1,60000,5,1,10.485,407621,407631
300,300,1,60000,6,1,10.987,408655,408666
300,300,1,60000,7,1,10.335,407921,407931
300,300,1,60000,8,1,10.466,407837,407847
300,300,1,60000,9,1,9.954,407716,407725
300,300,1,60000,10,1,10.175,408626,408636
300,300,1,60000,11,1,10.605,408996,409007
300,300,1,60000,12,1,10.566,408572,408583
300,300,1,60000,13,1,10.285,408645,408655
300,300,1,60000,14,1,10.365,408329,408339
300,300,1,60000,15,1,10.105,409042,409052
300,300,1,60000,16,1,9.995,409023,409033
300,300,1,60000,17,1,10.225,408059,408069
300,300,1,60000,18,1,10.626,407044,407054
300,300,1,60000,19,1,11.297,407027,407039
